"","country","date","update","cases","new_cases","deaths","new_deaths","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million","weeks_since_case100","weeks_since_death10"
"8557","Republic of Korea",1986-05-07,69,126745,4111,1865,34,2472.2,80.2,36.4,0.7,63,62
"8612","Republic of the Congo",1986-05-07,69,11147,469,148,4,2020.1,85,26.8,0.7,55,52
"8669","Romania",1986-05-07,69,1063949,8684,28799,690,55304.6,451.4,1497,35.9,59,58
"8719","Russia",1986-05-07,69,4808133,57378,110735,2445,32947.3,393.2,758.8,16.8,59,57
"8807","Rwanda",1986-05-07,69,25539,423,338,3,1971.8,32.7,26.1,0.2,56,37
"8874","Saint Kitts and Nevis",1986-05-07,69,45,1,0,0,849.1,18.9,0,0,0,0
"8898","Saint Lucia",1986-05-07,69,4607,55,75,1,25038,298.9,407.6,5.4,26,15
"8946","Saint Vincent and the Grenadines",1986-05-07,69,1895,31,12,1,17072.1,279.3,108.1,9,20,6
"9028","Samoa",1986-05-07,69,3,0,0,0,15.2,0,0,0,0,0
"9037","San Marino",1986-05-07,69,5067,1,90,0,149029.4,29.4,2647.1,0,59,59
"9146","Sao Tome and Principe",1986-05-07,69,2317,15,35,0,10579.9,68.5,159.8,0,52,49
"9196","Saudi Arabia",1986-05-07,69,424445,7082,7045,88,12191.8,203.4,202.4,2.5,59,57
"9215","Senegal",1986-05-07,69,40621,277,1116,9,2426,16.5,66.7,0.5,58,52
"9277","Serbia",1986-05-07,69,698518,8961,6519,157,79949.4,1025.6,746.1,18,59,57
"9360","Seychelles",1986-05-07,69,6373,500,28,0,65030.6,5102,285.7,0,43,11
"9451","Sierra Leone",1986-05-07,69,4068,14,79,0,510,1.8,9.9,0,53,52
"9456","Singapore",1986-05-07,69,61311,166,31,1,10480.5,28.4,5.3,0.2,61,55
"9569","Slovakia",1986-05-07,69,385022,2811,11946,262,70516.8,514.8,2187.9,48,59,54
"9587","Slovenia",1986-05-07,69,245159,4867,4285,35,117921.6,2341,2061.1,16.8,60,57
"9672","Solomon Islands",1986-05-07,69,20,0,0,0,29.1,0,0,0,0,0
"9696","Somalia",1986-05-07,69,14368,453,745,32,904,28.5,46.9,2,55,54
"9763","South Africa",1986-05-07,69,1592626,11416,54687,337,26853,192.5,922.1,5.7,59,56
